Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-Jun-17,2330,2377.85,2326,2364.35,2361.853022,54736,2907,129278387,20213,36.93,51.85,34.35
29-Jun-17,2353,2370.8,2325,2334.65,2349.128495,40484,2706,95102118,12542,30.98,45.8,-18.35
28-Jun-17,2345,2358.3,2335.15,2351.2,2346.412877,41424,2138,97197807,16742,40.42,23.15,6.2
27-Jun-17,2358.75,2386.35,2335,2345.9,2356.094627,47798,2905,112616611,13762,28.79,51.35,-12.85
23-Jun-17,2403,2413,2353,2360.65,2384.637579,46733,3970,111441268,20335,43.51,60,-42.35
22-Jun-17,2410,2430.1,2388.9,2395.75,2405.624249,57759,3815,138946451,14408,24.95,41.2,-14.25
21-Jun-17,2441,2441,2398,2406.05,2411.867505,46130,3731,111259448,13097,28.39,43,-34.95
20-Jun-17,2429.95,2445,2383.1,2441.5,2423.655672,39445,2837,95601098,10782,27.33,61.9,11.55
19-Jun-17,2408.5,2442.85,2406.55,2431.9,2429.489943,48128,3305,116926492,12923,26.85,36.3,23.4
16-Jun-17,2411.1,2434.9,2389.5,2397.45,2404.425958,72810,4378,175066254,16327,22.42,45.4,-13.65
15-Jun-17,2465.05,2469.95,2406.05,2411.1,2431.234359,77680,5035,188858285,35348,45.5,63.9,-53.95
14-Jun-17,2450.05,2477,2450.05,2470.8,2470.225517,63778,1951,157546043,9484,14.87,26.95,20.75
13-Jun-17,2466.25,2482.45,2450,2453.4,2464.331368,58017,3706,142973113,18738,32.3,32.45,-12.85
12-Jun-17,2500,2514,2472.4,2489.9,2480.137116,837196,4759,2076360873,775487,92.63,41.6,-10.1
9-Jun-17,2516,2545.5,2489,2510.25,2510.910479,102892,5504,258352601,21167,20.57,56.5,-5.75
8-Jun-17,2610,2610,2517.7,2521.5,2543.431693,181203,12235,460877453,63290,34.93,92.3,-88.5
7-Jun-17,2700,2700,2581,2615.35,2623.453728,195399,12074,512620235,68162,34.88,119,-84.65
6-Jun-17,2644,2707.4,2630,2695.4,2690.395961,153692,8732,413492336,42657,27.75,77.4,51.4
5-Jun-17,2565,2620,2560,2601.05,2580.839785,72209,3699,186359860,20809,28.82,60,36.05
2-Jun-17,2542.25,2589,2542.25,2561.85,2569.242399,41968,4168,107825965,19011,45.3,46.75,19.6
1-Jun-17,2530,2562.2,2530,2550.85,2554.657623,47144,2402,120436779,29744,63.09,32.2,20.85
31-May-17,2531,2571.55,2529.05,2544.35,2551.545674,50116,3849,127873263,18397,36.71,42.5,13.35
30-May-17,2572.85,2575,2525.6,2551.7,2553.401463,48794,3003,124590671,15600,31.97,49.4,-21.15
29-May-17,2579,2595.85,2562.3,2571.5,2578.930332,50066,3307,129116726,21040,42.02,33.55,-7.5
26-May-17,2624,2636,2571.05,2579.3,2601.333574,346966,3838,902574305,309738,89.27,64.95,-44.7
